"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000165178.8",150.194639770977,4.17701889914367,0.35301628730503,11.8323687868103,2.65540672490776e-32,8.11757835804302e-28,"NCF1C","654817"
"ENSG00000243811.3",448.296960680942,2.48560194960401,0.223314044562868,11.1305222851949,8.91118346994445e-29,1.36207439338101e-24,"APOBEC3D","140564"
"ENSG00000076662.5",1065.86129705169,2.38368027339123,0.22210281817719,10.7323279054009,7.17651235414357e-27,5.71540517270515e-23,"ICAM3","3385"
"ENSG00000007312.8",868.008756954522,3.94220970169933,0.367451408928294,10.7285197604689,7.47844968623506e-27,5.71540517270515e-23,"CD79B","974"
"ENSG00000102879.11",3574.96915757155,3.29117662331332,0.307930664960562,10.688044413293,1.15786576078421e-26,7.07919126143464e-23,"CORO1A","11151"
"ENSG00000128218.7",135.200339357298,4.83027001782392,0.456428447377341,10.5827540890119,3.58269520820447e-26,1.82538320858018e-22,"VPREB3","29802"
"ENSG00000110665.7",402.252926320959,3.14850881925874,0.300837120894828,10.4658255267622,1.23990986326884e-25,5.41486350287551e-22,"C11orf21","29125"
"ENSG00000229754.1",41.8064620531829,4.69049864971304,0.456294273955983,10.2795474706429,8.71357558691432e-25,3.32967507114963e-21,NA,NA
"ENSG00000023892.9",1867.33279010525,2.2214372838852,0.220382339429747,10.0799242336446,6.77783665881653e-24,2.30220518511135e-20,"DEF6","50619"
"ENSG00000172794.15",397.760270472972,3.02706971358969,0.30347253553832,9.97477319725183,1.96549984994554e-23,6.00853304128352e-20,"RAB37","326624"
"ENSG00000169442.4",872.329670531021,3.69389427027204,0.371187594452318,9.95155637063338,2.48269628015572e-23,6.89963866221458e-20,"CD52","1043"
"ENSG00000205744.5",1558.96514489118,2.40036379121124,0.243875343881566,9.84258495757135,7.3790093566395e-23,1.87980263360391e-19,"DENND1C","79958"
"ENSG00000247982.2",1674.22768796962,3.42495535478821,0.348360489707853,9.83164123365568,8.22669744677174e-23,1.9345395457524e-19,"LINC00926","283663"
"ENSG00000247774.2",351.651194189409,2.9168065851108,0.299890259312902,9.72624650028207,2.33033515318314e-22,5.08845325948633e-19,"PCED1B-AS1","100233209"
"ENSG00000158517.9",293.609140012366,3.60129291287837,0.371551259370413,9.69258701741638,3.2421050012028e-22,6.50708524038541e-19,"NCF1","653361"
"ENSG00000213654.5",1443.20221132884,2.4592285925543,0.253854330511692,9.68755816612329,3.40573646863482e-22,6.50708524038541e-19,"GPSM3","63940"
"ENSG00000015285.6",855.968423393559,2.89631853755398,0.30141620311417,9.60903397902905,7.32328038686165e-22,1.31689812603742e-18,"WAS","7454"
"ENSG00000009790.10",1227.93773440521,3.43263735019611,0.359131701127507,9.55815746540677,1.19871741512047e-21,2.03582174334627e-18,"TRAF3IP3","80342"
"ENSG00000175463.7",1939.93356678303,2.47173211212806,0.259189764546923,9.53638009760443,1.47905008624366e-21,2.37101355663755e-18,"TBC1D10C","374403"
"ENSG00000227507.2",663.68991758431,4.68412122492303,0.491439120572465,9.5314374229439,1.5512028502699e-21,2.37101355663755e-18,"LTB","4050"
"ENSG00000229164.5",1283.30196638356,3.10065597979242,0.331115375555721,9.36427665006039,7.65729852145037e-21,1.11131562453452e-17,NA,NA
"ENSG00000182487.8",186.242382659867,3.54382794891116,0.378626954454456,9.35968215474063,7.99769176963019e-21,1.11131562453452e-17,"NCF1B","654816"
"ENSG00000270164.1",227.387405458412,3.31788186282248,0.356431617022719,9.308607049332,1.29519752790908e-20,1.72148645339916e-17,"LINC01480","101927931"
"ENSG00000177721.3",290.395696289909,1.98637402261127,0.213699588805689,9.29517007361874,1.46971043563688e-20,1.87204366739248e-17,"ANXA2R","389289"
"ENSG00000111679.12",3223.21448024066,1.89750008741561,0.204820504602596,9.26420961171461,1.96527447123045e-20,2.40313762342059e-17,"PTPN6","5777"
"ENSG00000253701.1",81.9671603642819,4.81518929966401,0.522008567079518,9.22434918377597,2.85288078510284e-20,3.35432944617669e-17,NA,NA
"ENSG00000104894.7",2553.36203449624,3.5820858320242,0.389498127835291,9.19667021747271,3.69213479100547e-20,4.1803170578162e-17,"CD37","951"
"ENSG00000198286.5",867.171508757906,3.30248825702604,0.359894698192404,9.17626259462285,4.46313074627528e-20,4.83925360172688e-17,"CARD11","84433"
"ENSG00000167483.13",770.82809219044,5.13061492251838,0.559445457015247,9.17089388819285,4.69112683768805e-20,4.83925360172688e-17,"NIBAN3","199786"
"ENSG00000136490.4",1884.02075117749,3.0130345142126,0.328590540556411,9.16957167759776,4.74902218030116e-20,4.83925360172688e-17,"LIMD2","80774"
"ENSG00000166707.6",137.624361397498,2.52091346747786,0.275142658851029,9.16220508301029,5.08474935088974e-20,5.01421895666772e-17,"ZCCHC18","644353"
"ENSG00000258929.2",25.9686591458941,2.98017566750001,0.327166375721192,9.10905242303898,8.31046158988855e-20,7.9390878375904e-17,NA,NA
"ENSG00000068831.14",3383.4589195345,2.9575317195138,0.325656782606308,9.08174457735527,1.06848272724966e-19,9.8980354460673e-17,"RASGRP2","10235"
"ENSG00000073861.2",171.016708576003,2.4448669064668,0.271766425861262,8.99620657231192,2.33651439878347e-19,2.10080132855326e-16,"TBX21","30009"
"ENSG00000167984.12",1109.83461577894,2.18262322190161,0.244531682064859,8.92572775630232,4.42778306891896e-19,3.8673522404815e-16,"NLRC3","197358"
"ENSG00000211772.4",2000.55372286728,3.18649566656346,0.357889132039729,8.90358320858354,5.40722049589725e-19,4.59163140443275e-16,NA,NA
"ENSG00000126264.5",247.760794008267,2.30822829448963,0.260007678210313,8.87753896491691,6.83558960930328e-19,5.61623183035428e-16,"HCST","10870"
"ENSG00000126882.8",674.64814798396,2.57666115424066,0.290321717092829,8.87519259682798,6.98124990361343e-19,5.61623183035428e-16,"FAM78A","286336"
"ENSG00000159753.9",1226.10378062161,3.41214894245133,0.384784757747445,8.86768218789713,7.4684121587742e-19,5.85408614599301e-16,"CARMIL2","146206"
"ENSG00000010295.15",1893.93698898016,1.54691332927891,0.175287912316788,8.82498575533981,1.09473743949261e-18,8.36653088132226e-16,"IFFO1","25900"
"ENSG00000220008.2",127.068486692301,4.03092098434095,0.457656856318541,8.80773647043392,1.27698216122734e-18,9.52130357773656e-16,"LINGO3","645191"
"ENSG00000099308.6",1618.01801588116,1.18506964183307,0.135063046097726,8.77419602231984,1.72129169351647e-18,1.25285445406663e-15,"MAST3","23031"
"ENSG00000132185.12",254.705560755398,5.52700126984348,0.630120604953372,8.77133873483231,1.76554433948194e-18,1.2551788478596e-15,"FCRLA","84824"
"ENSG00000089820.11",3945.01587428581,2.30000734298924,0.262445134148642,8.76376447385982,1.88836151736535e-18,1.31198208149679e-15,"ARHGAP4","393"
"ENSG00000137078.4",172.154512410568,3.38677332448718,0.386947555384041,8.75253836692635,2.08606566523881e-18,1.4171339419189e-15,"SIT1","27240"
"ENSG00000179715.8",613.599604844264,2.42942375526995,0.278178405440222,8.73332979037444,2.47282728383002e-18,1.64335500144965e-15,"PCED1B","91523"
"ENSG00000072818.7",2465.25746239952,2.89903468708688,0.332173733873237,8.72746515289857,2.60444067592085e-18,1.69399471197661e-15,"ACAP1","9744"
"ENSG00000180448.6",5045.20220865962,2.60375235419969,0.300162332655262,8.67448067572857,4.15441978536947e-18,2.64584610080718e-15,"ARHGAP45","23526"
"ENSG00000269640.1",178.565628680325,2.00290534089709,0.231015933802792,8.66998785723099,4.32166471453045e-18,2.69618959843257e-15,NA,NA
"ENSG00000074370.13",4895.30248673098,2.21588156356416,0.25571902478124,8.66529803740561,4.5033335215236e-18,2.75333811505953e-15,"ATP2A3","489"
"ENSG00000171700.9",703.607357686479,1.61553695598561,0.186719326439073,8.65222142129333,5.05065311650552e-18,3.02742089748184e-15,"RGS19","10287"
"ENSG00000198851.5",1036.30936156715,2.83407818381933,0.328212032401715,8.63490032062737,5.87782687081262e-18,3.45548398924503e-15,"CD3E","916"
"ENSG00000161570.4",1271.8663100803,2.60443640609823,0.302145495346123,8.61980882129224,6.70659899682212e-18,3.86831568552551e-15,NA,NA
"ENSG00000269220.1",120.413700855443,2.40437143180799,0.279834646212788,8.59211489480718,8.53829452755267e-18,4.77779355592934e-15,"LINC00528","200298"
"ENSG00000166501.8",1010.86151060427,3.40372310786654,0.396180627439346,8.59134160563577,8.59596485365108e-18,4.77779355592934e-15,"PRKCB","5579"
"ENSG00000122986.9",311.009247012645,2.33890924058262,0.272342317267319,8.58812271280946,8.84018252350362e-18,4.82579249541975e-15,"HVCN1","84329"
"ENSG00000182866.12",959.197816524392,2.9239597448078,0.340662018032969,8.58316921179283,9.22944387334749e-18,4.94989647733742e-15,"LCK","3932"
"ENSG00000140368.8",763.20021589678,2.75923814632419,0.32165589845361,8.578229591279,9.63444974216832e-18,5.07801945893251e-15,"PSTPIP1","9051"
"ENSG00000170006.7",338.647675473889,2.6290951933946,0.306678519408096,8.57280515919041,1.00994292510525e-17,5.23287376618094e-15,"TMEM154","201799"
"ENSG00000197540.3",132.287959925348,2.45896176948984,0.287022187566062,8.56714872930819,1.06078846066e-17,5.40471720706268e-15,"GZMM","3004"
"ENSG00000105255.6",35.2609071897275,3.51614833155053,0.411081408264764,8.55341122429427,1.19503212624945e-17,5.98887411466322e-15,"FSD1","79187"
"ENSG00000007129.13",110.679163038371,2.40166911903223,0.281073166036395,8.54464036143975,1.28937167182769e-17,6.357434194802e-15,"CEACAM21","90273"
"ENSG00000241106.2",553.785491164333,3.75557749698879,0.441133000868904,8.51348117141858,1.68787913098698e-17,8.07506574452131e-15,"HLA-DOB","3112"
"ENSG00000141968.3",650.620351825255,2.80825151279813,0.329866494659804,8.51329722254551,1.6905600511919e-17,8.07506574452131e-15,"VAV1","7409"
"ENSG00000213809.4",843.267531817784,2.60970221450313,0.306803739250531,8.50609650611882,1.79887245435544e-17,8.4602355276378e-15,"KLRK1","22914"
"ENSG00000141524.11",3522.49221551172,2.11614893013087,0.249335122236024,8.48716743615322,2.11734595397688e-17,9.80716148682927e-15,"TMC6","11322"
"ENSG00000213402.2",2089.62424793073,2.22048852455225,0.26296156304871,8.44415624400946,3.0624935867447e-17,1.39731983502665e-14,"PTPRCAP","5790"
"ENSG00000146094.9",987.085166436042,2.6308506490593,0.312372856986454,8.42214869255875,3.69641511705376e-17,1.66175603129902e-14,"DOK3","79930"
"ENSG00000076928.13",11737.828711576,1.32833935549029,0.157904411744702,8.41230045958392,4.02046411995107e-17,1.78124040792615e-14,"ARHGEF1","9138"
"ENSG00000128340.10",655.174544942206,3.09343437733781,0.367836180699938,8.40981540057168,4.10656518918033e-17,1.79339568333204e-14,"RAC2","5880"
"ENSG00000245904.2",78.3020481011141,3.00232759069513,0.357212473492885,8.40487892636516,4.28303223873158e-17,1.84411683856372e-14,NA,NA
"ENSG00000129277.9",340.527375595953,2.85841152078407,0.340718679265951,8.38935959408586,4.88797464358418e-17,2.04832397935538e-14,NA,NA
"ENSG00000263264.1",111.222151737506,4.03322016415979,0.480758845833859,8.3892791554658,4.89131993761671e-17,2.04832397935538e-14,NA,NA
"ENSG00000110934.6",807.547961245774,2.63491246853902,0.314785836946767,8.37049244049886,5.7377943342566e-17,2.37032936213816e-14,"BIN2","51411"
"ENSG00000005844.13",2149.2314265718,3.01329093609694,0.360250701843433,8.36442766295162,6.0407434933805e-17,2.46220704790189e-14,"ITGAL","3683"
"ENSG00000260719.1",61.1516544722699,3.79199236632131,0.453683671628636,8.35822976107735,6.36663594922776e-17,2.56089553905122e-14,NA,NA
"ENSG00000168071.17",2953.67039068768,2.82454654225872,0.339422003350837,8.32163653026107,8.67570066876123e-17,3.44436583693546e-14,"CCDC88B","283234"
"ENSG00000105122.8",2345.9814185063,2.58770643858125,0.311111769888089,8.3176102257786,8.97546112684433e-17,3.5176903416363e-14,"RASAL3","64926"
"ENSG00000122122.9",1221.00624207145,3.03678056481166,0.365762858308033,8.30259414217008,1.01862377418518e-16,3.90408026129652e-14,"SASH3","54440"
"ENSG00000089327.10",2603.51295887092,1.53281800728946,0.184627068820526,8.30223876207175,1.02167622147112e-16,3.90408026129652e-14,"FXYD5","53827"
"ENSG00000100092.16",549.464343127819,2.04558042175548,0.246657132077077,8.29321416546863,1.10228616012301e-16,4.16010961913091e-14,"SH3BP1","23616"
"ENSG00000159618.11",264.486934415727,2.97424401711389,0.360537997841713,8.24946062528386,1.59111021297263e-16,5.93173648909431e-14,"ADGRG5","221188"
"ENSG00000261416.1",29.3722977211271,3.5820413866977,0.434299808101108,8.24785394762085,1.61264290446736e-16,5.93957754091173e-14,NA,NA
"ENSG00000167895.10",4025.71765743027,3.30916679756977,0.401386939749151,8.24433101793958,1.66086788250756e-16,6.04437275812573e-14,"TMC8","147138"
"ENSG00000106948.12",4293.22362911545,1.91960959740498,0.232907407472685,8.24194308903683,1.69436161136055e-16,6.09372170109317e-14,"AKNA","80709"
"ENSG00000260831.1",17.8856980586637,2.61014394750172,0.317332190529071,8.22527315350507,1.94746520078485e-16,6.92255944046429e-14,NA,NA
"ENSG00000139626.11",1053.24098382322,2.06125518435069,0.25104411446663,8.2107289737903,2.19849625402661e-16,7.68765671673796e-14,"ITGB7","3695"
"ENSG00000069424.10",1950.72486478162,1.97796718786873,0.24092347794395,8.209939540757,2.2129989894437e-16,7.68765671673796e-14,"KCNAB2","8514"
"ENSG00000115085.9",1581.97898265798,2.75556269729539,0.336225893211953,8.19556956476971,2.49409331332872e-16,8.56679017847854e-14,"ZAP70","7535"
"ENSG00000028277.16",1054.87743220884,3.1879441242047,0.389232170451125,8.19034079456957,2.60487531041927e-16,8.84789313772411e-14,"POU2F2","5452"
"ENSG00000188389.6",380.6145830271,2.89536180267818,0.354553498175153,8.16621981613576,3.18203231944592e-16,1.06895305500508e-13,"PDCD1","5133"
"ENSG00000104783.7",662.283057712288,3.18606776290325,0.390337941375087,8.16233172639926,3.28618209600162e-16,1.09194115950836e-13,"KCNN4","3783"
"ENSG00000089012.10",221.854373711543,3.40109132359103,0.417812048149045,8.14024233781255,3.94487503173531e-16,1.29671859914138e-13,"SIRPG","55423"
