"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000205744.5",1558.96514489118,-2.93828324543871,0.244192104681592,-12.0326709549844,2.39292060570606e-33,7.51520645428044e-29,"DENND1C","79958"
"ENSG00000007312.8",868.008756954522,-4.39742836547324,0.368225880818534,-11.9422033988978,7.13087618142361e-33,1.11976148676895e-28,"CD79B","974"
"ENSG00000253701.1",81.9671603642819,-7.5822971097936,0.64303145341594,-11.7914871341279,4.31847400128724e-32,4.52086648281424e-28,NA,NA
"ENSG00000231486.3",239.715343557276,-7.30477185360578,0.622892351157049,-11.727181815665,9.24869013321226e-32,7.26160905809161e-28,NA,NA
"ENSG00000132185.12",254.705560755398,-7.80961910007983,0.668581330567316,-11.6808812077553,1.5963197406068e-31,1.00268035546994e-27,"FCRLA","84824"
"ENSG00000172794.15",397.760270472972,-3.55202799930128,0.304838692144452,-11.6521560118035,2.23725825826862e-31,1.17105554765307e-27,"RAB37","326624"
"ENSG00000102879.11",3574.96915757155,-3.49932297631075,0.308004255758475,-11.3612812514343,6.51815790681618e-30,2.92441810316384e-26,"CORO1A","11151"
"ENSG00000243811.3",448.296960680942,-2.5319872692697,0.223515265303546,-11.3280283824513,9.53263716924142e-30,3.74227503671495e-26,"APOBEC3D","140564"
"ENSG00000110777.7",1901.31895491907,-5.91861534930849,0.525040347610871,-11.2726867111078,1.79022349403758e-29,6.24708433930491e-26,"POU2AF1","5450"
"ENSG00000247774.2",351.651194189409,-3.38890868432233,0.3012048107957,-11.2511771487639,2.2852162001258e-29,7.17694999811508e-26,"PCED1B-AS1","100233209"
"ENSG00000159753.9",1226.10378062161,-4.31660078867349,0.385608426778517,-11.1942594842535,4.35021686330431e-29,1.24202646189941e-25,"CARMIL2","146206"
"ENSG00000083454.17",959.872206831192,-6.08639635582203,0.544674323972032,-11.1743772157958,5.44308317375263e-29,1.31571681147243e-25,"P2RX5","5026"
"ENSG00000167483.13",770.82809219044,-6.29349426104995,0.563210165238762,-11.1743264761245,5.44619453261849e-29,1.31571681147243e-25,"NIBAN3","199786"
"ENSG00000137265.10",1008.95446355538,-5.19384426311577,0.469161771442827,-11.0704762818654,1.74470845209051e-28,3.91387954616818e-25,"IRF4","3662"
"ENSG00000104894.7",2553.36203449624,-4.2869726095139,0.38981943492854,-10.9973290846819,3.93618182384754e-28,8.24131509065039e-25,"CD37","951"
"ENSG00000226777.3",392.393892275909,-6.83493931064027,0.621909934586289,-10.9902397928199,4.25793333922288e-28,8.35779090322712e-25,"FAM30A","9834"
"ENSG00000009790.10",1227.93773440521,-3.94096607369221,0.359592492885033,-10.9595337824591,5.98066702509734e-28,1.10487546229534e-24,"TRAF3IP3","80342"
"ENSG00000198286.5",867.171508757906,-3.92765613341235,0.360648044915243,-10.8905515745563,1.27863500511584e-27,2.2309339428149e-24,"CARD11","84433"
"ENSG00000165178.8",150.194639770977,-3.80379729844049,0.350570551708515,-10.8503046816185,1.98761677570935e-27,3.2854259188383e-24,"NCF1C","654817"
"ENSG00000168081.4",63.9669277331021,-5.69766319389251,0.526063874597067,-10.8307440769556,2.46146930790568e-27,3.86524525420429e-24,"PNOC","5368"
"ENSG00000110665.7",402.252926320959,-3.25830991878791,0.301218673894823,-10.8170913730455,2.85700785842979e-27,4.27272327627838e-24,"C11orf21","29125"
"ENSG00000245164.2",720.869916857015,-4.52188879846458,0.420426241990124,-10.7554865677742,5.58385450207835e-27,7.97120611328513e-24,"LINC00861","100130231"
"ENSG00000023892.9",1867.33279010525,-2.36388593263582,0.220464595273542,-10.7222927550014,7.99953628677738e-27,1.09231928966318e-23,"DEF6","50619"
"ENSG00000260719.1",61.1516544722699,-5.15660888081262,0.483091704623727,-10.6741822131453,1.34436016898158e-26,1.75920731112648e-23,NA,NA
"ENSG00000105369.5",1914.11181565007,-7.18340994627588,0.675644123074911,-10.6319432093683,2.11655746517054e-26,2.6381410137707e-23,"CD79A","973"
"ENSG00000121895.7",177.021721624904,-5.16173047233417,0.485626340902238,-10.6290166689563,2.18403064248992e-26,2.6381410137707e-23,"TMEM156","80008"
"ENSG00000072818.7",2465.25746239952,-3.5310303229157,0.332404029356455,-10.6227061379247,2.33686600716724e-26,2.71820791929979e-23,"ACAP1","9744"
"ENSG00000169442.4",872.329670531021,-3.92687443478338,0.371536548803183,-10.5692816694155,4.13650803765876e-26,4.63968469395396e-23,"CD52","1043"
"ENSG00000137078.4",172.154512410568,-4.13089960716985,0.391430865958141,-10.5533312940416,4.90273440279982e-26,5.30949229842521e-23,"SIT1","27240"
"ENSG00000163508.8",242.014416038409,-4.39277781093531,0.421282197409739,-10.4271622155989,1.86371330392372e-25,1.95105933410095e-22,"EOMES","8320"
"ENSG00000162894.7",1348.90000085273,-4.1259021140604,0.396158764705671,-10.4147692330517,2.12311855172114e-25,2.15092455597917e-22,"FCMR","9214"
"ENSG00000211890.3",8199.6440315915,-7.05076206800243,0.677363296605375,-10.409129197489,2.25272797210756e-25,2.21091170912531e-22,NA,NA
"ENSG00000076662.5",1065.86129705169,-2.29555041166413,0.222086396806513,-10.3362945442537,4.82848003639466e-25,4.59524981887911e-22,"ICAM3","3385"
"ENSG00000181847.7",437.014894005132,-4.53619721679134,0.43914249407861,-10.3296703870779,5.17380613116883e-25,4.77907515751436e-22,"TIGIT","201633"
"ENSG00000247982.2",1674.22768796962,-3.59356683764979,0.348487355434538,-10.3119002213692,6.22579755398863e-25,5.58649708515905e-22,"LINC00926","283663"
"ENSG00000072858.6",309.341991630432,-3.42173152203506,0.331969872818738,-10.3073555831477,6.52726467610126e-25,5.69431317826767e-22,"SIDT1","54847"
"ENSG00000271856.1",141.513829850446,-6.37470134932938,0.619029005499763,-10.2979041251595,7.20131539165619e-25,6.11255435649606e-22,"LINC01215","101929623"
"ENSG00000136573.8",1092.72738317162,-6.27551582884964,0.610607319390297,-10.2774985323069,8.90077201921387e-25,7.35625384303765e-22,"BLK","640"
"ENSG00000128218.7",135.200339357298,-4.66225887165232,0.455302609085646,-10.2399124859294,1.31355131302382e-24,1.05777929581605e-21,"VPREB3","29802"
"ENSG00000197540.3",132.287959925348,-2.96316502023835,0.290033897278485,-10.2166162232864,1.67071347979871e-24,1.31176068866395e-21,"GZMM","3004"
"ENSG00000089012.10",221.854373711543,-4.30644808460978,0.421945851202353,-10.206162881655,1.8607857630542e-24,1.42536189449952e-21,"SIRPG","55423"
"ENSG00000015285.6",855.968423393559,-3.07742016142034,0.301640094075179,-10.2022914787095,1.93648787559662e-24,1.44803186240447e-21,"WAS","7454"
"ENSG00000132704.11",635.576168698252,-7.39918724865091,0.727970508938181,-10.164130494027,2.86668337557725e-24,2.09374553705533e-21,"FCRL2","79368"
"ENSG00000182866.12",959.197816524392,-3.46456001398066,0.341155217847114,-10.1553774725887,3.13594288230721e-24,2.23835050367591e-21,"LCK","3932"
